Table,NAME,FMTName,Type,Value,Label,FLAT,METRO
AHS2015,ACPRIMARY,ACPRIMARY,C,01,Electric powered central air conditioning system,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,02,Piped gas powered central air conditioning system,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,03,LP gas powered central air conditioning system,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,04,Other fuel source powered air conditioning system,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,05,1 room air conditioner,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,06,2 room air conditioners,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,07,3 room air conditioners,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,08,4 room air conditioners,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,09,5 room air conditioners,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,10,6 room air conditioners,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,11,7 or more room air conditioners,YES,YES
AHS2015,ACPRIMARY,ACPRIMARY,C,12,No air conditioning,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,01,Secondary electric powered central air conditioning system,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,02,Secondary piped gas powered central air conditioning system,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,03,Secondary LP gas powered central air conditioning system,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,04,Secondary other fuel source powered air conditioning system,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,05,Secondary 1 room air conditioner,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,06,Secondary 2 room air conditioners,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,07,Secondary 3 room air conditioners,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,08,Secondary 4 room air conditioners,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,09,Secondary 5 room air conditioners,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,10,Secondary 6 room air conditioners,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,11,Secondary 7 or more room air conditioners,YES,YES
AHS2015,ACSECNDRY,ACSECNDRY,C,12,No secondary air conditioning,YES,YES
AHS2015,ADEQUACY,ADEQUACY,C,1,Adequate,YES,YES
AHS2015,ADEQUACY,ADEQUACY,C,2,Moderately Inadequate,YES,YES
AHS2015,ADEQUACY,ADEQUACY,C,3,Severely Inadequate,YES,YES
AHS2015,ARTACCESS,ARTACCESS,C,1,Yes,YES,YES
AHS2015,ARTACCESS,ARTACCESS,C,2,No,YES,YES
AHS2015,ARTACCESS,ARTACCESS,C,M,Not Reported,YES,YES
AHS2015,ARTACCESS,ARTACCESS,C,N,Not Applicable,YES,YES
AHS2015,ARTATTRACT,ARTATTRACT,C,1,Agree,YES,YES
AHS2015,ARTATTRACT,ARTATTRACT,C,2,Disagree,YES,YES
AHS2015,ARTATTRACT,ARTATTRACT,C,M,Not Reported,YES,YES
AHS2015,ARTATTRACT,ARTATTRACT,C,N,Not Applicable,YES,YES
AHS2015,ARTAWARE,ARTAWARE,C,1,Agree,YES,YES
AHS2015,ARTAWARE,ARTAWARE,C,2,Disagree,YES,YES
AHS2015,ARTAWARE,ARTAWARE,C,M,Not Reported,YES,YES
AHS2015,ARTAWARE,ARTAWARE,C,N,Not Applicable,YES,YES
AHS2015,ARTECON,ARTECON,C,1,Agree,YES,YES
AHS2015,ARTECON,ARTECON,C,2,Disagree,YES,YES
AHS2015,ARTECON,ARTECON,C,M,Not Reported,YES,YES
AHS2015,ARTECON,ARTECON,C,N,Not Applicable,YES,YES
AHS2015,ARTIDENT,ARTIDENT,C,1,Agree,YES,YES
AHS2015,ARTIDENT,ARTIDENT,C,2,Disagree,YES,YES
AHS2015,ARTIDENT,ARTIDENT,C,M,Not Reported,YES,YES
AHS2015,ARTIDENT,ARTIDENT,C,N,Not Applicable,YES,YES
AHS2015,ARTIMPROVE,ARTIMPROVE,C,1,Agree,YES,YES
AHS2015,ARTIMPROVE,ARTIMPROVE,C,2,Disagree,YES,YES
AHS2015,ARTIMPROVE,ARTIMPROVE,C,M,Not Reported,YES,YES
AHS2015,ARTIMPROVE,ARTIMPROVE,C,N,Not Applicable,YES,YES
AHS2015,ARTJOBS,ARTJOBS,C,1,Agree,YES,YES
AHS2015,ARTJOBS,ARTJOBS,C,2,Disagree,YES,YES
AHS2015,ARTJOBS,ARTJOBS,C,M,Not Reported,YES,YES
AHS2015,ARTJOBS,ARTJOBS,C,N,Not Applicable,YES,YES
AHS2015,ARTNEARBY,ARTNEARBY,C,1,Very important,YES,YES
AHS2015,ARTNEARBY,ARTNEARBY,C,2,Important,YES,YES
AHS2015,ARTNEARBY,ARTNEARBY,C,3,Not important,YES,YES
AHS2015,ARTNEARBY,ARTNEARBY,C,M,Not Reported,YES,YES
AHS2015,ARTNEARBY,ARTNEARBY,C,N,Not Applicable,YES,YES
AHS2015,ARTSATIS,ARTSATIS,C,1,Very satisfied,YES,YES
AHS2015,ARTSATIS,ARTSATIS,C,2,Satisfied,YES,YES
AHS2015,ARTSATIS,ARTSATIS,C,3,Not satisfied,YES,YES
AHS2015,ARTSATIS,ARTSATIS,C,M,Not Reported,YES,YES
AHS2015,ARTSATIS,ARTSATIS,C,N,Not Applicable,YES,YES
AHS2015,ARTSOC,ARTSOC,C,1,Agree,YES,YES
AHS2015,ARTSOC,ARTSOC,C,2,Disagree,YES,YES
AHS2015,ARTSOC,ARTSOC,C,M,Not Reported,YES,YES
AHS2015,ARTSOC,ARTSOC,C,N,Not Applicable,YES,YES
AHS2015,ASTH1MED,ASTHMED,C,1,Yes,YES,YES
AHS2015,ASTH1MED,ASTHMED,C,2,No,YES,YES
AHS2015,ASTH1MED,ASTHMED,C,3,Never,YES,YES
AHS2015,ASTH1MED,ASTHMED,C,M,Not Reported,YES,YES
AHS2015,ASTH1MED,ASTHMED,C,N,Not Applicable,YES,YES
AHS2015,ASTH2MED,ASTHMED,C,1,Yes,YES,YES
AHS2015,ASTH2MED,ASTHMED,C,2,No,YES,YES
AHS2015,ASTH2MED,ASTHMED,C,3,Never,YES,YES
AHS2015,ASTH2MED,ASTHMED,C,M,Not Reported,YES,YES
AHS2015,ASTH2MED,ASTHMED,C,N,Not Applicable,YES,YES
