MSSubClass,LotFrontage,LotArea,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SalePrice,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Grvl,Street_Pave,Alley_Grvl,Alley_None,Alley_Pave,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_AllPub,Utilities_NoSeWa,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_ClyTile,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_None,MiscFeature_Gar2,MiscFeature_None,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
0.2,-0.2657872825277185,-0.25407608695652173,0.0,0.0,0.5,0.0,0.6521739130434783,0.24324324324324326,1.1933028919330289,1.0,0.0,0.0,0.0,0.0,0.4,0.45279045279045277,0.0,0.0,-0.5598290598290598,-0.26965174129353237,0.0,0.0,-0.4536082474226804,1.1730769230769231,0.0,0.38006952491309387,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,-0.5,0.6046511627906976,0.0,0.0,0.2815734989648033,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,0.0,12.247694320220994,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-0.6,0.5236864016828079,0.030014822134387352,0.0,0.0,0.0,3.0,0.06521739130434782,-0.4864864864864865,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.8346788346788346,0.0,0.0,-0.33076923076923076,0.5383084577114428,0.0,0.0,0.3436426116838488,0.0,0.0,-0.3120896098879876,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.023255813953488372,0.0,0.0,-0.08281573498964803,0.0,0.0,0.0,1.7738095238095237,-0.36764705882352944,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5,12.109010932687042,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.2,-0.10789254568561321,0.4376235177865613,-1.0,0.0,0.5,0.0,0.6086956521739131,0.21621621621621623,0.9863013698630136,1.0,0.0,0.0,0.0,1.0,0.4,0.14391014391014392,0.0,0.0,-0.07435897435897436,-0.14228855721393036,0.0,0.0,-0.32793323514973,1.1895604395604396,0.0,0.4974893781382773,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.5581395348837209,0.0,0.0,0.5300207039337475,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.31716669303576,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.4,-0.5289451772645606,0.017663043478260868,-1.0,0.0,0.5,0.0,-1.2608695652173914,-0.6486486486486487,0.0,0.0,0.0,-1.0,1.0,0.0,0.2,-0.23517023517023516,0.0,0.0,0.10683760683760683,-0.46865671641791046,-0.5,0.0,-0.24742268041237114,1.0384615384615385,0.0,0.39088451139436076,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.4883720930232558,-1.0,1.0,0.6708074534161491,0.0,0.0,0.0,0.0,0.14705882352941177,272.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.0,11.84939770159144,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.2,0.7342127174722816,1.1812005928853755,-1.0,0.0,1.0,0.0,0.5869565217391305,0.16216216216216217,2.13089802130898,1.0,0.0,0.0,0.0,2.0,0.4,0.3811863811863812,0.0,0.0,0.021367521367521368,0.3054726368159204,0.0,0.0,0.11389297987236131,1.4464285714285714,0.0,1.134028582464272,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.5,0.0,0.0,0.25,0.5348837209302325,0.0,1.0,1.474120082815735,0.0,0.0,0.0,1.1428571428571428,0.8676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.429216196844383,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,0.7868442964196499,1.1453804347826086,-1.0,0.0,-0.5,0.0,0.43478260869565216,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4892944892944893,0.0,0.0,-0.7068376068376069,-0.3890547263681592,0.0,0.0,-0.5714285714285714,0.7774725274725275,0.0,-0.15758980301274622,1.0,0.0,-1.0,1.0,-2.0,0.0,0.0,-0.5,0.0,-1.0,-0.5,0.37209302325581395,-1.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.07352941176470588,0.0,320.0,0.0,0.0,0.0,700.0,1.3333333333333333,0.5,11.870599909242044,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-0.6,0.26052850694596574,0.1495800395256917,0.0,0.0,1.0,0.0,0.6739130434782609,0.2972972972972973,1.1324200913242009,1.0,0.0,1.0,0.0,2.0,0.4,1.3836433836433837,0.0,0.0,-0.2743589743589744,1.382089552238806,0.0,0.0,1.191948944526264,0.0,0.0,0.3553495558130552,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.627906976744186,0.0,0.0,0.6459627329192547,0.0,0.0,0.0,1.5178571428571428,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.5,12.634603026569334,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.2,0.0,0.22319664031620554,-1.0,0.0,0.5,1.0,0.0,-0.5675675675675675,1.461187214611872,0.0,0.0,0.0,0.0,1.0,0.2,0.6676026676026676,3.0,32.0,-0.44700854700854703,0.2298507462686567,0.0,0.0,0.039273441335297005,1.3502747252747254,0.0,0.9671687910390112,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.25,-0.09302325581395349,0.0,0.0,0.016563146997929608,0.0,0.0,0.0,1.3988095238095237,2.6323529411764706,228.0,0.0,0.0,0.0,0.0,350.0,1.6666666666666667,0.5,12.206072645530174,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.0,-1.0026293877908763,-0.8296689723320159,0.0,0.0,0.5,0.0,-0.9130434782608695,-1.1891891891891893,0.0,0.0,0.0,-1.0,0.0,0.0,-0.6,-0.5384345384345385,0.0,0.0,0.8111111111111111,-0.07860696517412935,-0.5,0.0,-0.12763868433971526,1.032967032967033,0.0,0.47894940131324837,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,0.25,-1.069767441860465,-1.0,0.0,-0.049689440993788817,-1.0,0.0,0.0,0.5357142857142857,-0.36764705882352944,205.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,11.77452020265869,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2.8,-1.0552609667382449,-0.5085227272727273,0.0,0.0,-0.5,1.0,-0.7391304347826086,-1.1891891891891893,0.0,0.0,0.0,-1.0,0.0,0.0,0.4,0.6563706563706564,0.0,0.0,-0.5769230769230769,-0.0009950248756218905,0.0,0.0,-0.019636720667648502,0.0,0.0,-0.5979142526071842,1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-0.5,0.0,1.0,0.25,-0.8837209302325582,0.0,-1.0,-1.1387163561076605,1.0,0.0,0.0,0.0,-0.3088235294117647,0.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,0.0,11.678439903447801,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
